Help #,Help Name,
461,"BrowseS - POSMUTTRANSDATU",
462,"Browse - BTW_TABEL",
463,"Browse - MATCHRUN_EXTERND",
464,"Browse - MATCHRUN_SCHAD_D",
465,"Browse - EXT_FONDSENST_CO",
466,"Browse - FONDSENST_AANVR",
467,"Browse - FONDSEN_SELECTIE",
468,"Browse - FONDSENST_HEADER",
469,"Browse - FONDSENST_DETAIL",
470,"Browse - BROKERS",
471,"Browse - BEURZEN",
472,"Browse - VASTE_NIET_WERKD",
473,"Browse - VARIA_NIET_WERKD",
474,"Browse - EERSTE_PAASDAGEN",
475,"Browse - KALENDER_PER_BEU",
476,"Browse - PRODCONVWRKBSTND",
477,"Browse - WORKFILE_LENINGE",
478,"Browse - BEURSIDENTIFICAT",
479,"Browse - RENSEIGN_SOORTEN",
480,"Browse - BEGIN_EIND_ZOMER",
481,"Browse - DOORBELHEADER",
482,"Browse - DOORBELREGELS",
483,"Browse - KA_SYSTEEMGEGEVE",
484,"Browse - DOORBELCLIENTGEG",
485,"Browse - DOORBELBEREKEND",
486,"Browse - POS_RECALC_INFO",
487,"Browse - RENTERENSBESTAND",
488,"Browse - RENTERENSPERIODE",
489,"Browse - RENTERENSDETAIL",
490,"Browse - RENTERENS_TOTAAL",
491,"Browse - HERKOMSTCODES",
492,"Browse - BELADVRECHTENTAB",
493,"Browse - MS_SYSTEEM_GEGEV",
494,"Browse - DEPOT_CIJFERS",
495,"Browse - VERMOGEN",
496,"Browse - VERMOGENGRFONDSE",
497,"Browse - PROVISIE",
498,"Browse - OPBRENGSTEN",
499,"Browse - COUPONS_DIVIDEND",
500,"Browse - PORTEFEUILLEASSE",
501,"Browse - HULPBESTGR_KLVER",
502,"Browse - DEFBI_GEG_BI_TYP",
503,"Browse - TOEGELORDERCONTR",
504,"Browse - KA_REKENING_INFO",
505,"Browse - RELATIEVERDRAG",
506,"Browse - INKOMENSSOORTEN",
507,"Browse - BELASTINGSVERDRA",
508,"Browse - VERDRAGGROEP",
509,"Browse - INKOMENSVERDRAGP",
510,"BrowseS - ORDERS",
511,"BrowseS - ORDERSUITVOERIN",
512,"BrowseS - ORDERSSTATUSVER",
513,"Browse - VW_ORDERS_PER_RE",
514,"Browse - TMP_ORDERS",
